backend_name;date;results
ibmqx4;2018-07-05T22:00:40.682Z;{'00000': 280, '00001': 32, '00010': 287, '00011': 71, '00100': 197, '00101': 21, '00110': 119, '00111': 17}
ibmqx4;2018-07-05T22:00:40.742Z;{'00000': 467, '00001': 57, '00010': 384, '00011': 73, '00100': 17, '00101': 1, '00110': 20, '00111': 5}
ibmqx4;2018-07-05T22:00:40.865Z;{'00000': 239, '00001': 62, '00010': 240, '00011': 119, '00100': 194, '00101': 46, '00110': 94, '00111': 30}
ibmqx4;2018-07-05T22:00:40.917Z;{'00000': 382, '00001': 118, '00010': 350, '00011': 122, '00100': 21, '00101': 7, '00110': 18, '00111': 6}
ibmqx4;2018-07-05T22:00:41.017Z;{'00000': 207, '00001': 96, '00010': 215, '00011': 182, '00100': 139, '00101': 74, '00110': 71, '00111': 40}
ibmqx4;2018-07-05T22:00:41.115Z;{'00000': 335, '00001': 176, '00010': 289, '00011': 172, '00100': 19, '00101': 15, '00110': 10, '00111': 8}
ibmqx4;2018-07-05T22:00:41.193Z;{'00000': 141, '00001': 123, '00010': 170, '00011': 249, '00100': 120, '00101': 88, '00110': 63, '00111': 70}
ibmqx4;2018-07-05T22:00:41.280Z;{'00000': 248, '00001': 267, '00010': 192, '00011': 253, '00100': 16, '00101': 16, '00110': 13, '00111': 19}
ibmqx4;2018-07-05T22:00:41.372Z;{'00000': 93, '00001': 134, '00010': 129, '00011': 338, '00100': 84, '00101': 129, '00110': 35, '00111': 82}
ibmqx4;2018-07-05T22:00:41.496Z;{'00000': 174, '00001': 348, '00010': 165, '00011': 297, '00100': 9, '00101': 12, '00110': 10, '00111': 9}
ibmqx4;2018-07-05T22:00:41.554Z;{'00000': 66, '00001': 180, '00010': 73, '00011': 390, '00100': 52, '00101': 141, '00110': 28, '00111': 94}
ibmqx4;2018-07-05T22:00:41.643Z;{'00000': 108, '00001': 409, '00010': 122, '00011': 349, '00100': 6, '00101': 15, '00110': 7, '00111': 8}
ibmqx4;2018-07-05T22:00:41.745Z;{'00000': 42, '00001': 251, '00010': 35, '00011': 367, '00100': 43, '00101': 160, '00110': 15, '00111': 111}
ibmqx4;2018-07-05T22:00:41.813Z;{'00000': 78, '00001': 442, '00010': 64, '00011': 398, '00100': 3, '00101': 23, '00110': 2, '00111': 14}
ibmqx4;2018-07-05T22:00:41.917Z;{'00000': 39, '00001': 205, '00010': 41, '00011': 405, '00100': 33, '00101': 183, '00110': 8, '00111': 110}
ibmqx4;2018-07-05T22:00:41.994Z;{'00000': 53, '00001': 446, '00010': 48, '00011': 433, '00100': 5, '00101': 20, '00110': 4, '00111': 15}
ibmqx4;2018-07-05T21:59:54.184Z;{'00000': 198, '00001': 3, '00010': 319, '00011': 10, '00100': 221, '00101': 11, '00110': 257, '00111': 5}
ibmqx4;2018-07-05T21:59:54.318Z;{'00000': 482, '00001': 18, '00010': 466, '00011': 18, '00100': 19, '00101': 2, '00110': 19}
ibmqx4;2018-07-05T21:59:54.374Z;{'00000': 166, '00001': 12, '00010': 333, '00011': 19, '00100': 221, '00101': 20, '00110': 245, '00111': 8}
ibmqx4;2018-07-05T21:59:54.461Z;{'00000': 509, '00001': 29, '00010': 398, '00011': 24, '00100': 27, '00101': 5, '00110': 32}
ibmqx4;2018-07-05T21:59:54.635Z;{'00000': 148, '00001': 22, '00010': 331, '00011': 40, '00100': 193, '00101': 28, '00110': 227, '00111': 35}
ibmqx4;2018-07-05T21:59:54.654Z;{'00000': 418, '00001': 66, '00010': 428, '00011': 65, '00100': 25, '00101': 4, '00110': 16, '00111': 2}
ibmqx4;2018-07-05T21:59:54.738Z;{'00000': 140, '00001': 45, '00010': 290, '00011': 75, '00100': 155, '00101': 62, '00110': 197, '00111': 60}
ibmqx4;2018-07-05T21:59:54.814Z;{'00000': 389, '00001': 124, '00010': 324, '00011': 131, '00100': 23, '00101': 6, '00110': 19, '00111': 8}
ibmqx4;2018-07-05T21:59:54.950Z;{'00000': 126, '00001': 66, '00010': 217, '00011': 127, '00100': 144, '00101': 73, '00110': 164, '00111': 107}
ibmqx4;2018-07-05T21:59:55.005Z;{'00000': 324, '00001': 155, '00010': 315, '00011': 177, '00100': 11, '00101': 11, '00110': 21, '00111': 10}
ibmqx4;2018-07-05T21:59:55.128Z;{'00000': 107, '00001': 108, '00010': 161, '00011': 180, '00100': 100, '00101': 115, '00110': 105, '00111': 148}
ibmqx4;2018-07-05T21:59:55.268Z;{'00000': 274, '00001': 239, '00010': 195, '00011': 272, '00100': 7, '00101': 11, '00110': 13, '00111': 13}
ibmqx4;2018-07-05T21:59:55.288Z;{'00000': 76, '00001': 115, '00010': 126, '00011': 214, '00100': 83, '00101': 155, '00110': 99, '00111': 156}
ibmqx4;2018-07-05T21:59:55.369Z;{'00000': 167, '00001': 322, '00010': 158, '00011': 318, '00100': 14, '00101': 20, '00110': 8, '00111': 17}
ibmqx4;2018-07-05T21:59:55.454Z;{'00000': 32, '00001': 137, '00010': 90, '00011': 248, '00100': 55, '00101': 210, '00110': 60, '00111': 192}
ibmqx4;2018-07-05T21:59:55.583Z;{'00000': 129, '00001': 385, '00010': 102, '00011': 359, '00100': 6, '00101': 22, '00110': 4, '00111': 17}
ibmqx4;2018-07-05T21:59:55.636Z;{'00000': 29, '00001': 143, '00010': 54, '00011': 275, '00100': 48, '00101': 201, '00110': 38, '00111': 236}
ibmqx4;2018-07-05T21:59:55.762Z;{'00000': 79, '00001': 423, '00010': 66, '00011': 399, '00100': 5, '00101': 24, '00110': 4, '00111': 24}
ibmqx4;2018-07-05T21:59:55.901Z;{'00000': 32, '00001': 118, '00010': 42, '00011': 296, '00100': 41, '00101': 220, '00110': 29, '00111': 246}
ibmqx4;2018-07-05T21:59:55.919Z;{'00000': 72, '00001': 448, '00010': 54, '00011': 403, '00100': 5, '00101': 27, '00111': 15}
ibmqx4;2018-07-05T21:59:08.378Z;{'00000': 199, '00001': 14, '00010': 259, '00011': 6, '00100': 257, '00101': 10, '00110': 265, '00111': 14}
ibmqx4;2018-07-05T21:59:08.432Z;{'00000': 445, '00001': 13, '00010': 496, '00011': 15, '00100': 26, '00101': 2, '00110': 27}
ibmqx4;2018-07-05T21:59:08.530Z;{'00000': 198, '00001': 16, '00010': 242, '00011': 14, '00100': 271, '00101': 17, '00110': 259, '00111': 7}
